filename,x,y,z,r,distance_mm,angle_deg,first_corner_x_y,last_corner_x_y,timestamp
..\calibration_images\session_20250517_054446\image001.jpg,299.99581899356133,0.007677271566666149,0.0014194630784913898,0.0042128534987568855,50.0,0.0667232777815442,706.9714_351.6274,1212.4027_729.0648,20250517_054536
..\calibration_images\session_20250517_054446\image002.jpg,260.9848780949158,-29.196790572202165,-0.012951670214533806,-0.07158279418945312,50.0,172.1978160606669,981.9056_469.6135,479.9446_186.8396,20250517_054537
..\calibration_images\session_20250517_054446\image003.jpg,279.09658064798407,-30.005897610260863,0.0034916980657726526,0.03522491455078125,50.0,173.70831584325813,997.9133_597.0746,484.8207_290.8755,20250517_054539
..\calibration_images\session_20250517_054446\image004.jpg,299.1570734964884,-30.010343086165733,-0.00892347190529108,0.04203081130981445,50.0,174.58177898475412,1011.2748_724.6218,491.6331_402.9352,20250517_054540
..\calibration_images\session_20250517_054446\image005.jpg,319.09682269580037,-30.010611060660512,0.0010845995275303721,0.018756389617919922,50.0,174.64672973684145,1022.1659_847.4836,500.2378_519.6752,20250517_054542
..\calibration_images\session_20250517_054446\image006.jpg,339.08063050889774,-30.016501692716602,0.014777454547584057,-0.013347625732421875,50.0,173.9744361469524,1030.9105_963.5021,511.2520_638.8113,20250517_054543
..\calibration_images\session_20250517_054446\image007.jpg,260.94338170379723,-10.241593374571416,-0.01822412759065628,0.01831984519958496,50.0,176.79680552397778,1138.9846_468.4530,635.7454_135.7724,20250517_054545
..\calibration_images\session_20250517_054446\image008.jpg,279.16859437008367,-9.99106699037789,0.013977519236505032,0.0047795772552490234,50.0,177.5546653520741,1143.6473_595.9999,632.6145_245.6231,20250517_054547
..\calibration_images\session_20250517_054446\image009.jpg,299.10128462693433,-9.990764281445877,-0.01623300276696682,0.0039969682693481445,50.0,177.9898972708648,1146.2712_723.0966,631.2144_363.6098,20250517_054548
..\calibration_images\session_20250517_054446\image010.jpg,319.09437924371235,-9.991334870413855,0.010570676065981388,0.008324861526489258,50.0,177.90507990627583,1146.5519_845.4966,631.8152_486.4093,20250517_054550
..\calibration_images\session_20250517_054446\image011.jpg,339.0043115121211,-9.987359085404746,-0.004277022555470467,0.007146239280700684,50.0,2.773567806756052,635.0546_611.6816,1145.2780_960.9978,20250517_054551
..\calibration_images\session_20250517_054446\image012.jpg,260.9447359773695,9.75511608846259,-0.016305414959788322,0.01508474349975586,50.0,2.40439377755676,806.7200_109.2689,1289.8153_490.1599,20250517_054554
..\calibration_images\session_20250517_054446\image013.jpg,279.082372709652,10.008540928825909,0.014790377579629421,-0.014297008514404297,50.0,2.197742503917651,794.8531_221.8331,1283.6670_613.6664,20250517_054555
..\calibration_images\session_20250517_054446\image014.jpg,299.01091686074824,10.004024682466056,-0.0156013872474432,-0.009120821952819824,50.0,1.9645186515042312,784.7332_342.9203,1275.8054_736.7531,20250517_054557
..\calibration_images\session_20250517_054446\image015.jpg,319.0113534527526,10.008143159043081,0.011053462512791157,-0.007589101791381836,50.0,1.458732537451531,776.8573_469.3273,1266.1844_855.7195,20250517_054558
..\calibration_images\session_20250517_054446\image016.jpg,339.09421762850656,10.005207481836438,-0.00359954871237278,-0.010073423385620117,50.0,0.575454780645866,771.3040_598.1042,1255.0688_968.2672,20250517_054600
..\calibration_images\session_20250517_054446\image017.jpg,260.89737273819395,29.76176335786976,-0.019675713032484055,0.009448051452636719,50.0,8.227141553580473,983.4778_110.4127,1426.3589_531.7756,20250517_054602
..\calibration_images\session_20250517_054446\image018.jpg,279.0037393586346,30.02210008598503,0.004978484008461237,-0.029909610748291016,50.0,7.159502205880446,963.2128_222.5853,1410.5958_647.9576,20250517_054603
..\calibration_images\session_20250517_054446\image019.jpg,299.15457042774614,30.024590462948627,-0.013502968475222588,-0.033788204193115234,50.0,6.221766566919501,944.9091_343.6678,1393.6149_764.4586,20250517_054605
..\calibration_images\session_20250517_054446\image020.jpg,319.08882437872813,30.0242758259899,0.0023301001638174057,-0.043656349182128906,50.0,5.222671668068621,928.2799_470.3764,1375.2733_877.4200,20250517_054606
..\calibration_images\session_20250517_054446\image021.jpg,339.15951514323456,30.023484812797943,0.014317783527076244,-0.005878448486328125,50.0,4.008130063312151,913.7328_599.8038,1355.7178_984.5378,20250517_054608
